iter	Passed	Remaining
655	8376	4392
656	8395	4383
657	8399	4365
658	8405	4349
659	8415	4335
660	8421	4318
661	8436	4307
662	8439	4289
663	8453	4277
664	8456	4260
665	8459	4242
666	8471	4229
667	8474	4212
668	8487	4199
669	8498	4185
670	8503	4169
671	8514	4156
672	8520	4139
673	8530	4125
674	8535	4109
675	8546	4096
676	8549	4078
677	8555	4063
678	8559	4046
679	8563	4029
680	8566	4012
681	8571	3996
682	8575	3980
683	8580	3963
684	8585	3948
685	8589	3931
686	8593	3915
687	8597	3898
688	8602	3882
689	8605	3866
690	8623	3856
691	8625	3839
692	8632	3824
693	8641	3810
694	8649	3795
695	8664	3784
696	8668	3768
697	8671	3751
698	8682	3738
699	8685	3722
700	8694	3708
701	8704	3695
702	8708	3679
703	8715	3664
704	8718	3648
705	8730	3635
706	8739	3622
707	8753	3610
708	8757	3594
709	8762	3579
710	8773	3566
711	8782	3552
712	8792	3539
713	8801	3525
714	8810	3511
715	8821	3498
716	8831	3485
717	8844	3473
718	8849	3458
719	8862	3446
720	8865	3430
721	8877	3418
722	8881	3402
723	8885	3387
724	8901	3376
725	8905	3360
726	8911	3346
727	8920	3332
728	8923	3317
729	8934	3304
730	8945	3292
731	8949	3276
732	8952	3261
733	8955	3245
734	8960	3230
735	8964	3215
736	8969	3200
737	8973	3185
738	8977	3170
739	8981	3155
740	8985	3140
741	8989	3125
742	8993	3110
743	8997	3095
744	9001	3080
745	9004	3065
746	9015	3053
747	9028	3041
748	9031	3026
749	9041	3013
750	9045	2999
751	9052	2985
752	9067	2974
753	9070	2959
754	9077	2945
755	9085	2932
756	9092	2918
757	9105	2906
758	9108	2892
759	9115	2878
760	9127	2866
761	9137	2853
762	9145	2840
763	9151	2827
764	9163	2814
765	9170	2801
766	9183	2789
767	9190	2776
768	9198	2763
769	9209	2750
770	9216	2737
771	9219	2722
772	9223	2708
773	9228	2694
774	9232	2680
775	9236	2666
776	9241	2652
777	9245	2638
778	9249	2624
779	9252	2609
780	9256	2595
781	9259	2581
782	9263	2567
783	9269	2553
784	9274	2540
785	9278	2526
786	9283	2512
787	9287	2498
788	9290	2484
789	9294	2470
790	9298	2456
791	9302	2442
792	9308	2429
793	9313	2416
794	9317	2402
795	9324	2389
796	9328	2376
797	9332	2362
798	9336	2348
799	9341	2335
800	9350	2322
801	9363	2311
802	9369	2298
803	9379	2286
804	9388	2274
805	9394	2261
806	9418	2252
807	9425	2239
808	9431	2226
809	9440	2214
810	9447	2201
811	9457	2189
812	9462	2176
813	9479	2166
814	9482	2152
815	9486	2139
816	9496	2127
817	9499	2113
818	9513	2102
819	9522	2090
820	9529	2077
821	9536	2065
822	9543	2052
823	9555	2040
824	9559	2027
825	9569	2015
826	9581	2004
827	9591	1992
828	9596	1979
829	9607	1967
830	9624	1957
831	9635	1945
832	9638	1932
833	9647	1920
834	9652	1907
835	9665	1896
836	9674	1883
837	9677	1870
838	9693	1860
839	9707	1849
840	9712	1836
841	9720	1824
842	9724	1811
843	9734	1799
844	9742	1787
845	9749	1774
846	9758	1762
847	9765	1750
848	9772	1738
849	9780	1725
850	9793	1714
851	9805	1703
852	9809	1690
853	9816	1678
854	9823	1665
855	9833	1654
856	9839	1641
857	9846	1629
858	9859	1618
859	9863	1605
860	9870	1593
861	9881	1582
862	9887	1569
863	9897	1557
864	9903	1545
865	9911	1533
866	9936	1524
867	9944	1512
868	9954	1500
869	9963	1488
870	9971	1476
871	9981	1465
872	9990	1453
873	9999	1441
874	10006	1429
875	10017	1418
876	10031	1406
877	10036	1394
878	10046	1382
879	10049	1370
880	10053	1357
881	10056	1345
882	10061	1333
883	10064	1320
884	10070	1308
885	10074	1296
886	10078	1283
887	10095	1273
888	10098	1260
889	10102	1248
890	10114	1237
891	10126	1226
892	10135	1214
893	10144	1202
894	10154	1191
895	10159	1179
896	10163	1167
897	10168	1154
898	10173	1142
899	10179	1131
900	10183	1118
901	10188	1106
902	10192	1094
903	10203	1083
904	10215	1072
905	10219	1060
906	10223	1048
907	10231	1036
908	10245	1025
909	10248	1013
910	10252	1001
911	10267	990
912	10278	979
913	10283	967
914	10290	955
915	10297	944
916	10311	933
917	10320	921
918	10328	910
919	10335	898
920	10344	887
921	10353	875
922	10363	864
923	10371	853
924	10379	841
925	10389	830
926	10397	818
927	10405	807
928	10411	795
929	10421	784
930	10426	772
931	10436	761
932	10444	750
933	10451	738
934	10458	727
935	10470	715
936	10479	704
937	10482	692
938	10491	681
939	10527	671
940	10535	660
941	10546	649
942	10550	637
943	10555	626
944	10563	614
945	10578	603
946	10595	592
947	10608	581
948	10615	570
949	10626	559
950	10630	547
951	10634	536
952	10640	524
953	10644	513
954	10648	501
955	10652	490
956	10659	478
957	10663	467
958	10668	456
959	10673	444
960	10679	433
961	10682	421
962	10687	410
963	10693	399
964	10698	388
965	10702	376
966	10708	365
967	10712	354
968	10716	342
969	10720	331
970	10723	320
971	10728	309
972	10732	297
973	10738	286
974	10744	275
975	10747	264
976	10754	253
977	10759	242
978	10765	230
979	10777	219
980	10786	208
981	10797	197
982	10801	186
983	10808	175
984	10812	164
